country,code,year,cost.import
Sub-Saharan Africa (developing only),SSA,2013,2901.902174
South Sudan,SSD,2013,9285
Sub-Saharan Africa (all income levels),SSF,2013,2874.202128
Small states,SST,2013,1396.9
Sao Tome and Principe,STP,2013,577
Suriname,SUR,2013,1165
Slovak Republic,SVK,2013,1480
Slovenia,SVN,2013,830
Sweden,SWE,2013,735
Swaziland,SWZ,2013,2145
Sint Maarten (Dutch part),SXM,2013,
Seychelles,SYC,2013,675
Syrian Arab Republic,SYR,2013,2075
Turks and Caicos Islands,TCA,2013,
Chad,TCD,2013,9025
Togo,TGO,2013,1190
Thailand,THA,2013,760
Tajikistan,TJK,2013,10250
Turkmenistan,TKM,2013,
Timor-Leste,TLS,2013,415
Tonga,TON,2013,490
Trinidad and Tobago,TTO,2013,1260
Tunisia,TUN,2013,860
Turkey,TUR,2013,1235
Tuvalu,TUV,2013,
Tanzania,TZA,2013,1615
Uganda,UGA,2013,3375
Ukraine,UKR,2013,2505
Upper middle income,UMC,2013,1653.468627
Uruguay,URY,2013,1440
United States,USA,2013,1276
Uzbekistan,UZB,2013,5352
St. Vincent and the Grenadines,VCT,2013,1425
"Venezuela, RB",VEN,2013,3695
Virgin Islands (U.S.),VIR,2013,
Vietnam,VNM,2013,600
Vanuatu,VUT,2013,1440
West Bank and Gaza,PSE,2013,1390
World,WLD,2013,1838.862434
Samoa,WSM,2013,615
"Yemen, Rep.",YEM,2013,1490
South Africa,ZAF,2013,1980
"Congo, Dem. Rep.",COD,2013,3890
Zambia,ZMB,2013,6360
Zimbabwe,ZWE,2013,5660
